formulation,target_column,seed,model,n_classes,n_train,n_test,runtime_seconds,accuracy,balanced_accuracy,f1,f1_macro,f1_weighted,precision_macro,recall_macro,roc_auc,logloss
binary_0_vs_1_4,binary_0_vs_1_4,21,LogisticRegression_balanced,2,736,184,0.012318134307861328,0.7989130434782609,0.7971066475370636,0.8177339901477833,0.7967457829526795,0.7990271098217125,0.7964332577836097,0.7971066475370636,0.8732663797226208,0.4572256208432357
binary_0_vs_1_4,binary_0_vs_1_4,21,RandomForest_balanced,2,736,184,0.9881553649902344,0.8152173913043478,0.8142037302725968,0.8316831683168316,0.813431945604199,0.8154157741599198,0.8128571428571428,0.8142037302725968,0.8862984218077474,0.4245224404938084
binary_0_vs_1_4,binary_0_vs_1_4,21,ExtraTrees_balanced,2,736,184,0.8005201816558838,0.7880434782608695,0.7873027259684362,0.8059701492537313,0.7862186075609974,0.7883655142667294,0.7855614973262033,0.7873027259684362,0.8854615016738403,0.4292062181838846
binary_0_vs_1_4,binary_0_vs_1_4,21,XGBoost_fixed,2,736,184,0.09444212913513184,0.8206521739130435,0.8179100908656145,0.8390243902439024,0.8182852012569205,0.8205394609294185,0.8187102960565744,0.8179100908656145,0.8867766618842658,0.41852215790350317
binary_0_vs_1_4,binary_0_vs_1_4,21,LightGBM_fixed,2,736,184,0.16541719436645508,0.7880434782608695,0.7884983261597323,0.8040201005025126,0.7866254348666409,0.7885161593922791,0.7859343524114231,0.7884983261597323,0.8546150167384028,0.6709007846070366
binary_0_vs_1_4,binary_0_vs_1_4,84,LogisticRegression_balanced,2,736,184,0.010963201522827148,0.7989130434782609,0.8006934481109517,0.8121827411167513,0.7979042360554516,0.7994562474751581,0.7974571259609697,0.8006934481109517,0.8629842180774747,0.4701306922106281
binary_0_vs_1_4,binary_0_vs_1_4,84,RandomForest_balanced,2,736,184,0.9850282669067383,0.7989130434782609,0.7983022477283597,0.8159203980099502,0.7971817558912027,0.7992185648171535,0.7964943553178847,0.7983022477283597,0.8664514586322333,0.45600420052917573
binary_0_vs_1_4,binary_0_vs_1_4,84,ExtraTrees_balanced,2,736,184,0.7994413375854492,0.7771739130434783,0.7774988043998088,0.7939698492462312,0.7756831494751866,0.7776708342329088,0.7750325867993838,0.7774988043998088,0.8761358201817312,0.4428988507486893
binary_0_vs_1_4,binary_0_vs_1_4,84,XGBoost_fixed,2,736,184,0.0871129035949707,0.7663043478260869,0.7664992826398852,0.7839195979899497,0.7647408640837323,0.7668255090735386,0.7641308211873445,0.7664992826398852,0.8565279770444763,0.49091006917988084
binary_0_vs_1_4,binary_0_vs_1_4,84,LightGBM_fixed,2,736,184,0.18772506713867188,0.717391304347826,0.7199904351984696,0.7319587628865979,0.7165540940869771,0.7182285146086751,0.717391304347826,0.7199904351984696,0.8402678144428503,0.7491736494867066
binary_0_vs_1_4,binary_0_vs_1_4,123,LogisticRegression_balanced,2,736,184,0.011742353439331055,0.8369565217391305,0.8350071736011477,0.8529411764705882,0.8350071736011477,0.8369565217391305,0.8350071736011477,0.8350071736011477,0.899091343854615,0.4042719761111885
binary_0_vs_1_4,binary_0_vs_1_4,123,RandomForest_balanced,2,736,184,0.969719648361206,0.8206521739130435,0.8191056910569106,0.8374384236453202,0.81871921182266,0.8207539087599057,0.8183824406537039,0.8191056910569106,0.8987326637972262,0.41428054586789936
binary_0_vs_1_4,binary_0_vs_1_4,123,ExtraTrees_balanced,2,736,184,0.770599365234375,0.8260869565217391,0.8263988522238164,0.84,0.8247619047619048,0.8264182194616976,0.8239202657807309,0.8263988522238164,0.9021999043519847,0.4043373414941625
binary_0_vs_1_4,binary_0_vs_1_4,123,XGBoost_fixed,2,736,184,0.08677935600280762,0.8260869565217391,0.8252032520325203,0.8415841584158416,0.8244065370392462,0.8262736697975717,0.8238095238095238,0.8252032520325203,0.9039933046389288,0.39192157523566384
binary_0_vs_1_4,binary_0_vs_1_4,123,LightGBM_fixed,2,736,184,0.1774754524230957,0.8152173913043478,0.8118125298900047,0.8349514563106796,0.8125374565504015,0.8149737608721709,0.8134615384615385,0.8118125298900047,0.8764945002391201,0.5640245866908825
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,42,LogisticRegression_balanced,3,736,184,0.016687870025634766,0.6467391304347826,0.6133273110508882,0.5926994363442901,0.5926994363442901,0.6460950364882049,0.595829013753542,0.6133273110508882,0.812800195368696,0.807634237553064
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,42,RandomForest_balanced,3,736,184,0.9959371089935303,0.6739130434782609,0.5813791026799157,0.5852244036564888,0.5852244036564888,0.6670407979727052,0.596792908196417,0.5813791026799157,0.8317874999733089,0.7017278144083785
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,42,ExtraTrees_balanced,3,736,184,0.7851691246032715,0.657608695652174,0.582330623306233,0.5788404273953406,0.5788404273953406,0.653232310539423,0.578937728937729,0.582330623306233,0.8350049983354477,0.7084793638435167
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,42,XGBoost_fixed,3,736,184,0.22828388214111328,0.6847826086956522,0.5895091839807287,0.5959161966021348,0.5959161966021348,0.6723602191856245,0.6234090271937203,0.5895091839807287,0.8236801243091537,0.7288273860462915
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,42,LightGBM_fixed,3,736,184,0.5466372966766357,0.6467391304347826,0.5828605841613972,0.5799727629576223,0.5799727629576223,0.6481074260994955,0.5780492863472669,0.5828605841613972,0.8098119644925319,1.10269190958639
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,7,LogisticRegression_balanced,3,736,184,0.016698122024536133,0.5978260869565217,0.5771213489912678,0.5576184487654038,0.5576184487654038,0.6090142978389375,0.5586342592592592,0.5771213489912678,0.7515615133075574,0.9022433297112233
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,7,RandomForest_balanced,3,736,184,0.9999828338623047,0.6413043478260869,0.5727913279132791,0.5805581251927228,0.5805581251927228,0.6385467361139042,0.5963327370304115,0.5727913279132791,0.7785980693420029,0.7914699910465224
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,7,ExtraTrees_balanced,3,736,184,0.9741861820220947,0.6032608695652174,0.5247395362842517,0.5238015761251561,0.5238015761251561,0.6029914446849267,0.5231481481481481,0.5247395362842517,0.7670250569549785,0.8136322506178325
ordinal_3class_0_vs_1_2_vs_3_4,ordinal_3class_0_vs_1_2_vs_3_4,7,XGBoost_fixed,3,736,184,0.3410181999206543,0.6195652173913043,0.5471123155676001,0.5550355879469804,0.5550355879469804,0.6136263571321359,0.573850959393128,0.5471123155676001,0.7660250286373896,0.8806148039481454
